%batchNum lastTS numPackets totalBytes avgInterAT stdInterAT avgLength stdLength ipSrc ipDst ipSrcDst ipv4 ipv6 icmp4 icmp6 ipMaskSrc[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] ipMaskDst[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] numTCP numUDP  othersL4 srcPortTCP dstPortTCP srcPortUDP dstPortUDP ipSrcPort ipDstPort tcpSyn tcpFin tcpRes flows flowsTCP flowsUDP flowsOther avgPacketsFlowTCP stdPacketsFlowTCP avgPacketsFlowUDP stdPacketsFlowUDP avgPacketsFlowOther stdPacketsFlowOther avgInterAtFlowTCP stdInterAtFlowTCP avgInterAtFlowUDP stdInterAtFlowUDP avgInterAtFlowOther stdInterAtFlowOther avgLengthFlowTCP stdLengthFlowTCP avgLengthFlowUDP stdLengthFlowUDP avgLengthFlowOther stdLengthFlowOther onePacketFlows httpPackets httpFlows sslPackets sslFlows smtpPackets smtpFlows auxFet
1 500007 45246 35345466 11.056339273869014 13.411287983671649 793.422141911154 681.6525851574108 3050 1169 4111 45172 74 82 74 2944 2891 2817 2720 2634 2577 2517 2461 2409 2353 2291 2213 2101 1957 1765 1039 934 791 632 468 320 207 123 67 37 21 13 9 6 5 36982 7319 789 1293 36982 798 7319 3637 45173 713 475 365 5591 3909 940 742 9.460731644921974 36.975806738462005 7.786170212765957 39.49041090178082 1.2735849056603774 3.0143412828132514 194459.04400102329 151571.59633089567 207689.41382978723 155730.10498462504 290306.7749326145 126533.53937523758 8036.770273727296 48215.81763215599 4141.442553191489 29749.515008347866 234.2 1370.4115599884583 3145 26880 2518 600 135 45 16 0
2 1000045 50359 40250983 9.935014105773433 12.620544441955113 814.0576790842536 678.6683075718678 3198 1211 4299 50218 141 88 141 3066 3008 2933 2849 2774 2715 2655 2603 2535 2467 2391 2300 2190 2027 1842 1088 983 835 661 483 316 201 120 69 37 21 13 9 6 5 42150 7034 946 1382 42150 818 7034 3848 50219 809 556 383 5931 4118 950 863 10.235551238465275 37.78246379181351 7.404210526315789 35.0226392945748 1.361529548088065 4.9933907650574305 690811.063623118 149897.40563720392 714937.0463157895 149870.06623903816 744895.7705677868 150657.40265421188 8864.849441476445 46992.180322029795 3885.1873684210527 27319.038607496692 338.5243902439024 2167.455270025422 3337 31236 2669 618 153 93 24 0
3 1500012 50787 41929852 9.851676715135753 12.839711771243211 837.1041924535836 674.3547756676463 3173 1156 4221 50725 62 122 62 3023 2959 2887 2806 2732 2663 2603 2548 2502 2443 2376 2291 2171 2017 1826 1036 939 790 622 469 315 198 118 66 36 20 12 8 5 4 42129 7703 771 1359 42129 840 7703 3807 50726 705 524 462 5823 4068 986 769 10.356194690265486 41.9447094745057 7.81237322515213 41.17305042301217 1.2418725617685307 2.5681858720898845 1194077.4201081612 149406.55353045536 1209352.9026369168 152586.94180775565 1280972.6840052016 132558.67635886988 9165.760078662734 55141.82427845623 4684.757606490873 35974.11251786868 136.22826086956522 505.8733784258666 3176 32053 2654 484 135 96 24 0
4 2000007 48514 38817252 10.311412191701724 13.02677067057564 817.0027781870225 675.5548511036719 3252 1197 4357 48425 89 190 89 3133 3076 3000 2920 2830 2761 2696 2644 2582 2516 2442 2348 2238 2077 1883 1066 963 804 648 468 316 198 117 65 35 20 12 8 5 4 40074 7039 1122 1395 40072 831 7039 3895 48424 719 568 399 6190 4122 999 1069 9.72197962154294 53.25554279535556 7.046046046046046 39.458712472532476 1.3105706267539756 3.542604518244275 1689517.2258612325 150816.60304900742 1714622.867867868 153087.7375132441 1743465.6304957904 138474.6844458845 8522.388255277845 72327.67260894975 3614.7507507507507 28182.166844141546 415.1682692307692 4105.799456022776 3552 30013 2666 401 141 95 25 0
5 2500012 44080 33833013 11.350478957642892 13.751332700574993 779.5961658102722 680.5017332822947 3167 1172 4238 44048 32 130 32 3050 2987 2928 2851 2771 2706 2649 2599 2541 2484 2413 2318 2188 2025 1832 1058 967 813 645 462 309 195 114 64 34 19 11 7 5 4 36322 6810 786 1348 36322 830 6810 3785 44049 693 447 426 5641 3877 1003 761 9.368583956667527 34.26412753747058 6.78963110667996 37.15181325743139 1.2457293035479633 1.7839995521587153 2190826.020634511 149487.0849559375 2218543.66001994 156299.6081126453 2211650.249671485 137706.50502707803 7888.703636832603 44235.23637356915 3201.655034895314 21766.383758933785 232.69938650306747 1131.084161487596 3108 25346 2429 458 147 69 22 0
6 3000003 47358 38099672 10.562815556541395 13.028225025537937 811.5379142881486 679.4597008735594 3153 1189 4277 47265 93 125 93 3027 2983 2911 2826 2738 2680 2625 2575 2521 2460 2400 2323 2204 2051 1848 1066 963 805 638 461 300 195 116 64 36 20 12 8 5 4 39860 6764 516 1373 39860 788 6764 3761 47266 835 461 364 5442 4085 931 426 9.75764993880049 36.26347890206872 7.26530612244898 40.83488273144243 1.7230046948356808 5.310101985705317 2693783.1747858017 149939.3575306735 2701135.662728249 148346.13459625738 2746577.762910798 149042.82967731342 8518.349082007344 47108.1592942043 3520.4264232008595 26905.71483844606 134.27272727272728 504.721959780325 2849 28545 2609 579 148 81 18 0
7 3500002 47484 38257267 10.53397096930499 12.997782075726212 810.386621195111 676.9374996591547 3138 1192 4232 47421 63 133 63 3015 2953 2882 2794 2702 2641 2575 2519 2467 2400 2333 2240 2144 1986 1807 1075 961 814 637 461 316 204 118 65 36 20 12 8 5 4 40203 6740 345 1352 40203 777 6740 3737 47422 706 545 410 5418 4106 946 366 9.791281052118851 41.35528821824632 7.1247357293868925 37.154340684669314 1.4781420765027322 3.7383699437141815 3193847.4564052606 149117.28482372427 3211164.588794926 150190.16754363937 3245407.9098360655 141884.40583695206 8443.876522162689 55176.12509264678 3766.607822410148 28297.810484052152 127.1336898395722 522.4892803956291 2835 28697 2633 745 137 166 21 0
8 4000010 47456 37977772 10.538960902097164 12.990661139713996 806.209714055236 679.4323457867802 3129 1221 4289 47363 93 91 93 3020 2952 2873 2780 2698 2631 2566 2510 2461 2402 2317 2223 2124 1966 1784 1102 991 840 662 480 323 204 121 67 36 20 12 8 5 4 40344 6549 379 1379 40342 798 6549 3782 47362 782 615 489 5545 4241 960 344 9.512850742749352 35.62205654535729 6.821875 26.495105680106278 1.6366279069767442 5.307958044733508 3691128.26762556 149079.30009633358 3709659.310416667 149967.90292033466 3732153.5872093025 149354.66716137037 8038.524056603774 46229.948928136546 4041.7052083333333 28435.76984313727 91.0 325.56497900658104 2879 30079 2761 456 151 60 17 0
9 4500007 47222 37728779 10.593013155943478 13.193501863017426 805.0255830328376 676.8101369720296 3128 1183 4220 47159 63 97 63 3006 2936 2862 2775 2691 2626 2562 2516 2465 2405 2339 2239 2119 1970 1795 1060 963 802 634 457 299 186 112 62 36 20 12 8 5 4 40132 6507 423 1343 40132 803 6507 3783 47160 837 495 408 5435 4048 967 420 9.91403162055336 46.30957865386829 6.729058945191313 31.461307304220362 1.388095238095238 3.263433774416144 4193502.8357213438 149336.6456899979 4206737.0961737335 146119.96475971924 4259239.6404761905 149077.07319146473 8262.940464426878 60336.46968760593 4402.599793174767 37173.2429088434 131.6685393258427 567.4841877715946 2791 30231 2581 370 147 160 27 0
10 5000009 46169 37867019 10.833687221042597 13.234901943645136 825.1393706964177 676.0304012196027 3167 1173 4226 46169 0 93 0 3049 2987 2922 2853 2760 2697 2634 2584 2524 2455 2381 2294 2180 2036 1867 1067 971 811 643 471 313 200 114 65 35 19 11 7 4 3 39655 6033 388 1394 39655 858 6033 3806 46169 749 508 321 5412 4006 997 409 9.898901647528707 43.57233270933976 6.051153460381143 25.32760277616422 1.176039119804401 1.1575203241124954 4691981.399151273 150892.77381460584 4711524.060180542 150307.49115002033 4745969.662591687 153179.03684094892 8660.891662506241 58242.16126994395 3161.3149448345034 26421.885892140475 122.28834355828221 327.3403699384038 2814 28460 2572 924 134 278 25 0
11 5500024 48373 40484045 10.341854356683418 12.919156867826487 843.0385240098288 674.113624526481 3259 1184 4316 48368 5 81 5 3137 3080 3015 2937 2855 2800 2739 2688 2631 2576 2511 2420 2307 2151 1969 1060 954 808 628 464 308 190 112 64 36 20 12 8 5 4 41071 6718 498 1438 41071 851 6717 3896 48369 795 463 379 5489 4011 1010 468 10.239591124407879 43.75792409628974 6.651485148514851 32.963255871102334 1.2478632478632479 1.6679482252310118 5191737.914485166 151396.58487124846 5209007.905940594 153491.6956009589 5253380.901709402 142949.90444708063 9096.651458489156 59674.69428201294 3941.5841584158416 38753.028646075705 95.03977272727273 342.91701553794985 2907 30352 2480 742 133 156 25 0
12 6000010 49010 40166529 10.204457324788766 12.857263982345499 826.8549755033142 676.1383331353251 3214 1164 4330 48889 121 96 121 3084 3027 2953 2874 2794 2744 2682 2642 2587 2517 2432 2349 2254 2100 1907 1043 942 798 632 468 306 198 118 65 36 20 12 8 5 4 41021 7304 468 1418 41019 807 7304 3869 48888 765 551 336 5562 4144 983 435 9.898889961389962 52.799851555892886 7.430315361139369 37.42767865091739 1.5747126436781609 5.892914116259391 5692846.390444015 151673.38761954234 5698957.972533062 150167.08026867648 5738281.583908046 152011.95361755366 8610.647115616703 71744.4305779557 4529.993896236012 43206.82449042381 214.2566844919786 1692.5149751705212 2971 30775 2616 763 132 167 23 0
13 6500002 48073 38883164 10.403766125676238 13.092200014009288 814.5700638944171 677.8179922879889 3149 1149 4210 48011 62 160 62 3041 2978 2908 2819 2733 2657 2599 2550 2496 2428 2357 2275 2163 2036 1841 1022 913 781 618 454 304 188 115 66 36 20 12 8 5 4 40535 6935 381 1390 40535 805 6935 3787 48012 793 552 354 5340 3951 983 406 10.259427992913187 45.696416604682824 7.054933875890132 28.26937708138764 1.4852216748768472 3.306956393896509 6188786.104530498 148044.02062464462 6200983.288911495 149470.51625214794 6241325.426108374 144097.86343024002 8842.211592002024 60294.206399166076 3996.319430315361 29177.84052455734 102.85263157894737 249.427671195268 2737 29675 2511 608 112 128 26 0
14 7000036 46928 37900631 10.660065232684559 13.174037595967835 814.0949179482774 677.7849180031972 3159 1197 4259 46867 61 139 61 3036 2973 2896 2811 2715 2647 2580 2525 2468 2406 2323 2238 2131 1988 1808 1081 967 812 649 473 311 198 117 66 36 20 12 8 5 4 40285 5974 469 1361 40285 769 5974 3769 46868 842 595 477 5531 4223 883 425 9.539426947667534 44.19831044802349 6.765571913929785 24.278373320684558 1.5741176470588236 3.9902823134681173 6691890.086194648 149911.45389014482 6707463.131370328 149073.8222637758 6730412.145882353 139938.06094105056 8259.854132133554 59315.53781396838 3395.1868629671576 20694.852811484663 115.36702127659575 476.1291394640833 2942 29539 2775 472 108 112 18 0
15 7500054 44839 35580367 11.154932405300496 13.288506887332943 798.7397297175953 679.9627854337482 3201 1197 4246 44807 32 115 32 3081 3004 2922 2836 2761 2691 2624 2570 2514 2458 2396 2302 2193 2037 1860 1083 974 823 648 476 320 203 119 66 36 20 12 8 5 4 37812 6454 426 1328 37812 824 6454 3798 44808 782 498 376 5338 3953 996 389 9.565393372122438 40.468624731450234 6.479919678714859 27.38629285143534 1.4730077120822622 3.209080945401474 7189321.790538832 150780.0080555777 7207499.398594378 149751.68313168333 7245885.822622108 141271.41795895473 8116.1869939271255 52717.47460084741 3494.233935742972 27404.563201079633 143.36363636363637 717.4146409472381 2838 27036 2540 590 106 139 25 0
16 8000015 46455 36950597 10.765831915764087 13.027191376711974 802.0965529217679 677.0780999002932 3225 1204 4316 46362 93 110 93 3107 3048 2969 2883 2798 2739 2669 2601 2546 2477 2400 2315 2198 2045 1878 1068 954 805 639 454 301 191 117 65 36 20 12 8 5 4 39269 6545 438 1374 39267 784 6545 3787 46361 773 513 458 5495 4179 918 398 9.396745632926537 41.284554656898905 7.12962962962963 30.217007431682603 1.6105527638190955 5.073083963874698 7688576.31442929 149422.70315924834 7697842.189542484 150279.3357486974 7750905.585427135 144967.39367450494 7987.830301579703 54669.768862694844 3868.3289760348584 27942.044058978572 158.0059171597633 498.83511048804627 2822 28326 2674 436 107 132 16 0
17 8500003 45398 36588687 11.015289374545615 13.185849443342981 813.1269611982755 678.1765379282102 3247 1180 4294 45311 87 102 87 3134 3066 2986 2897 2807 2740 2676 2616 2554 2491 2411 2326 2211 2049 1861 1057 946 792 629 462 305 192 116 65 36 21 13 9 6 5 37982 6751 476 1381 37982 825 6750 3844 45312 779 500 421 5534 4122 989 423 9.214459000485201 38.373818883972596 6.826086956521739 27.22770328336484 1.5721040189125295 4.90283846961142 8194935.567442989 150915.83606871663 8217383.588473205 154988.34968881658 8260405.352245863 135747.45571481227 7906.612324114508 51011.019363771324 4017.7694641051567 27622.504429148375 147.33132530120483 677.9925586896616 2939 26648 2637 818 123 138 23 0
18 9000001 46392 37795507 10.78174055545972 13.203573530533111 820.8638476240118 674.4664831228092 3217 1202 4292 46299 93 83 93 3082 3008 2930 2844 2757 2685 2621 2583 2529 2468 2389 2297 2186 2034 1841 1079 958 791 626 463 313 192 114 64 36 20 12 8 5 4 38192 7551 473 1357 38192 793 7551 3800 46300 743 564 511 5485 4156 961 368 9.189605389797883 35.20722375347613 7.8574401664932365 30.626208060863572 1.763586956521739 6.8855156732779665 8694901.134023098 151541.96590461285 8706584.521331945 154169.29381303728 8721675.605978262 140330.15845558103 7937.15375360924 45986.519069996684 4859.511966701352 29536.875038633774 897.1161290322581 9769.048650481984 2905 27000 2681 675 113 161 22 0
19 9500006 46078 37747495 10.855412270418132 13.196188808546868 825.9928446389497 672.0076814581295 3283 1216 4364 45991 87 115 87 3156 3084 3012 2920 2823 2753 2693 2635 2569 2511 2445 2352 2239 2092 1894 1074 964 815 641 471 319 199 117 64 35 20 12 8 5 4 38620 6761 495 1446 38620 827 6761 3920 45992 803 499 434 5528 4118 987 423 9.378338999514327 37.61132415524644 6.850050658561297 26.10606919927792 1.6477541371158393 5.301099399778852 9194120.38028169 150975.99708202976 9198040.18135765 149705.78129264325 9274376.617021276 143650.29562181223 8246.35016998543 50101.422679214425 3783.7031408308003 20484.660887596794 313.6457142857143 2032.7314375349383 2887 27648 2625 596 134 134 21 0
