%batchNum lastTS numPackets totalBytes avgInterAT stdInterAT avgLength stdLength ipSrc ipDst ipSrcDst ipv4 ipv6 icmp4 icmp6 ipMaskSrc[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] ipMaskDst[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] numTCP numUDP  othersL4 srcPortTCP dstPortTCP srcPortUDP dstPortUDP ipSrcPort ipDstPort tcpSyn tcpFin tcpRes flows flowsTCP flowsUDP flowsOther avgPacketsFlowTCP stdPacketsFlowTCP avgPacketsFlowUDP stdPacketsFlowUDP avgPacketsFlowOther stdPacketsFlowOther avgInterAtFlowTCP stdInterAtFlowTCP avgInterAtFlowUDP stdInterAtFlowUDP avgInterAtFlowOther stdInterAtFlowOther avgLengthFlowTCP stdLengthFlowTCP avgLengthFlowUDP stdLengthFlowUDP avgLengthFlowOther stdLengthFlowOther onePacketFlows httpPackets httpFlows sslPackets sslFlows smtpPackets smtpFlows auxFet
1 500006 48890 39631784 10.229939850239372 12.700042190787245 817.749076653255 676.0500636939945 3314 1376 4665 48799 91 140 91 3199 3144 3063 2970 2883 2813 2761 2702 2642 2581 2499 2400 2271 2108 1899 1181 1026 855 669 488 321 198 120 66 36 20 12 8 5 4 41433 6676 550 1499 41431 826 6676 4093 48798 904 664 403 5910 4455 1008 447 9.3003367003367 39.070786719231904 6.623015873015873 33.766603793482574 1.7472035794183445 5.3870338989269335 197094.1317620651 151098.92844342435 218368.69543650793 151553.1844039484 249265.4004474273 145792.27478635593 7832.743152222721 51463.691624354404 4651.536706349207 42826.178663877974 282.11 1766.9388769847135 3218 32824 2842 329 221 468 22 0
2 1000006 48131 39589062 10.390208424246202 12.959708917775286 829.0635156642654 675.845294408689 3368 1263 4539 48099 32 81 32 3242 3182 3098 2992 2916 2856 2802 2744 2686 2614 2521 2414 2278 2108 1918 1101 973 814 645 466 312 203 120 67 36 20 12 8 5 4 42251 5186 581 1500 42251 834 5186 4040 48100 840 524 369 5764 4327 991 446 9.764501964409522 43.66905235495553 5.233097880928355 16.601095364636386 1.5560538116591929 5.176914952990176 685574.1975964871 147899.04244777048 716337.2613521696 150437.92479017575 732164.8923766816 150677.80611308955 8538.238040212618 57990.38020792396 2633.0433905146315 15200.171032383929 200.7942857142857 1308.4521346122785 3107 31940 2658 333 192 476 26 0
3 1500024 44452 35378416 11.251271319922596 13.38012832639776 803.0053565754233 679.9731111987695 3257 1258 4390 44390 62 102 62 3156 3102 3020 2928 2847 2793 2727 2672 2609 2547 2456 2361 2241 2065 1860 1103 984 828 653 464 303 193 114 65 36 20 12 8 5 4 38369 5417 502 1420 38369 858 5417 3961 44391 927 519 403 5751 4264 1043 444 8.998358348968106 38.92963115659771 5.193672099712368 16.673533261111633 1.5 3.869492598904018 1201747.3541275798 147654.180310275 1210830.9865771811 149669.85780190662 1260375.8851351351 142705.10251457704 7612.699108818011 51971.96637953969 2749.930009587728 17604.16383607043 291.1860465116279 1971.7153566563352 3186 27692 2763 304 160 634 28 0
4 2000004 46441 37388651 10.767713313520265 13.245370080669314 811.3934895833333 677.6928055655289 3271 1344 4535 46380 61 107 61 3158 3097 3031 2944 2856 2795 2735 2682 2626 2570 2490 2391 2258 2097 1898 1110 973 810 637 470 314 195 116 66 36 20 12 8 5 4 40123 5592 558 1516 40123 856 5592 4047 46381 930 541 409 5775 4356 1013 406 9.210973370064279 39.18151350979532 5.520236920039487 18.080902973022173 1.7881773399014778 6.494597982605622 1701505.518365473 150639.4938052295 1721466.8923988154 151094.01440175422 1738848.697044335 148136.05989829794 7889.080348943985 51951.190272321706 2927.386969397828 18974.701516926845 345.5 1980.3169443298716 3221 29631 2756 295 185 811 29 0
5 2500001 45652 36382453 10.955499561787905 13.323632901342854 803.1879332420857 680.5389723953479 3248 1316 4483 45590 62 86 62 3121 3064 3000 2913 2827 2765 2698 2650 2593 2535 2456 2366 2249 2097 1902 1111 985 819 637 464 312 199 120 67 36 20 12 8 5 4 39321 5639 544 1451 39319 886 5639 3988 45589 880 513 423 5662 4240 1044 378 9.273820754716981 40.94830496180865 5.4013409961685825 17.82342081369106 1.8306878306878307 7.428317048961641 2199762.304481132 154825.74045126143 2217363.6762452107 154201.3256602993 2236703.664021164 151256.84566042907 7851.614767633876 54356.32316343556 2938.214559386973 18563.81128786891 209.84415584415584 1262.3379926914217 3086 28075 2684 287 169 1077 33 0
6 3000008 44875 34923585 11.144652966611687 13.502939710407317 785.9752891929603 681.1671063162702 3216 1229 4396 44780 95 105 95 3112 3055 2976 2886 2805 2739 2677 2622 2578 2522 2441 2336 2215 2067 1879 1065 957 795 632 462 303 193 115 66 35 20 12 8 5 4 38577 5501 597 1420 38577 844 5500 3929 44781 834 511 555 5618 4146 1032 440 9.304630969609262 42.11399720105946 5.330426356589148 19.208288141667733 1.8113636363636363 7.487261910010289 2698866.1432706225 152084.0640311425 2715489.3846899224 151655.57836009044 2751451.984090909 147095.73063589173 7718.878195851423 55958.12595946689 2800.7848837209303 19515.8834700177 192.26543209876544 1072.3883693955352 3081 27660 2596 277 152 914 44 0
7 3500012 46058 36382220 10.85853891591383 13.309326876185391 798.0234476102739 676.1767899935043 3272 1284 4478 45964 94 102 94 3144 3083 2998 2904 2826 2764 2697 2647 2593 2528 2447 2339 2199 2033 1846 1116 993 828 652 470 308 196 114 64 35 20 12 8 5 4 39445 5817 600 1435 39445 832 5817 3942 45965 859 544 364 5683 4228 985 470 9.329470198675496 38.9537878454949 5.905583756345178 20.014766122644613 1.6936170212765957 6.6991584101478985 3195859.959555345 150450.03298810788 3209956.1329949237 148326.39421866104 3239628.229787234 150436.7776536963 7824.353358561968 51096.790370464536 3324.5786802030457 21361.21937426162 151.19886363636363 667.9163410460652 3026 28927 2740 225 139 863 41 0
8 4000011 44743 34851756 11.176337788904288 13.31462870214454 785.1519520601951 677.6046484228885 3176 1260 4326 44712 31 101 31 3051 2996 2921 2832 2755 2700 2652 2604 2547 2477 2403 2319 2197 2056 1871 1097 972 807 631 462 310 193 120 68 36 20 12 8 5 4 38154 5928 529 1439 38154 845 5928 3871 44713 739 478 554 5467 4014 1025 428 9.505231689088191 38.29301187352321 5.783414634146341 20.04224806046151 1.544392523364486 5.8151027988117 3691900.7575984057 151581.1049132476 3716391.460487805 151396.57524120825 3750718.2570093456 151904.50733425462 7800.792227204784 49536.846281804064 3420.9853658536585 21898.749402693094 211.59235668789808 1258.2916813736047 2919 27151 2476 307 170 942 36 0
9 4500025 44574 33323067 11.218712138209558 13.306041078774639 755.5157684721246 683.3483090215619 3325 1356 4630 44482 92 116 92 3191 3126 3040 2940 2848 2785 2726 2666 2601 2534 2458 2366 2238 2072 1886 1114 989 824 641 467 313 198 121 67 36 20 12 8 5 4 37876 5836 654 1523 37874 852 5836 4087 44481 1036 514 425 5937 4460 1030 447 8.492376681614349 33.99396213864174 5.666019417475728 20.639202964967573 1.9284116331096197 9.28253995943104 4203485.757623319 153294.40999388794 4209637.1242718445 145343.92202763332 4243837.841163311 150929.91654670858 6717.067728190177 42135.45645938337 3192.488349514563 22161.49726422457 496.24852071005915 4096.938761199361 3245 27440 2835 229 142 910 36 0
10 5000039 46784 37775996 10.688463265000749 13.141457740497644 813.724711356195 675.0553312442281 3213 1292 4414 46720 64 80 64 3092 3026 2956 2875 2789 2721 2661 2611 2559 2489 2410 2329 2220 2043 1857 1109 985 803 630 468 310 192 118 66 36 21 13 9 6 5 41050 5044 546 1454 41050 752 5042 3879 46721 908 510 418 5692 4382 923 387 9.367868553172068 38.67947491899455 5.464788732394366 16.76282840199319 1.7829457364341086 6.852261551640672 4694087.87608398 151884.4766612748 4706797.349945829 148453.5916010245 4738250.377260982 145811.41538527198 8024.115472387038 50700.625155179005 2803.457204767064 17681.174651148616 168.26708074534162 819.4850109854442 2966 30968 2823 219 130 506 29 0
11 5500015 47380 39473616 10.554908169727677 13.230258114896507 839.3180030192851 671.9335925531211 3264 1268 4456 47317 63 92 63 3138 3078 2991 2903 2807 2747 2680 2628 2565 2504 2424 2336 2219 2058 1895 1100 972 816 646 484 321 209 123 67 36 20 12 8 5 4 41159 5527 539 1406 41159 835 5527 3920 47318 816 551 427 5691 4281 1030 380 9.614342443354357 43.79497954777788 5.366019417475728 18.623036157623584 1.8263157894736841 6.504654204167157 5190843.039243167 148109.87434210285 5216172.398058252 150858.5973777354 5243815.431578947 155984.66054319675 8518.825741649147 59063.59807542044 2870.393203883495 19302.823457113853 286.1952662721894 1939.502655397991 3024 31157 2793 216 118 543 35 0
12 6000003 43895 35315484 11.394216307369764 13.740687064964169 809.9019378511639 677.3304430223362 3177 1246 4348 43863 32 86 32 3063 3001 2923 2831 2736 2677 2621 2572 2517 2458 2392 2303 2194 2051 1873 1079 956 803 639 468 309 201 120 68 36 20 12 8 5 4 37850 5433 494 1377 37850 828 5433 3812 43864 781 523 443 5489 4107 1012 370 9.215972729486243 36.49297239649888 5.368577075098814 18.492119889934617 1.654054054054054 5.997296688306121 5700515.249086925 153374.5281370674 5714812.625494071 152150.28310349383 5751537.016216217 147659.72359340606 7953.721694667641 48674.23242872647 2591.310276679842 17346.297111665244 169.3395061728395 782.4213682734286 2980 28229 2633 171 92 438 27 0
13 6500042 43159 33771172 11.58772275392209 13.655918667807919 791.2757966260543 676.0711144057503 3167 1264 4438 43098 61 99 61 3039 2977 2897 2808 2725 2674 2614 2568 2517 2452 2374 2287 2182 2036 1864 1085 958 791 627 458 308 192 115 66 35 20 12 8 5 4 37235 5146 618 1440 37233 743 5146 3844 43097 802 571 445 5712 4333 898 481 8.593353334871914 31.98335737313399 5.7305122494432075 19.941451048837564 1.6174636174636174 5.586589228677835 6194528.179552273 148207.07049991607 6206745.785077951 152786.26479514193 6254674.0436590435 144193.34363033273 7190.8898891966755 41045.13839134747 2891.28285077951 18824.58618175321 149.34969325153375 608.5661262848514 3125 27229 2798 167 101 506 25 0
14 7000037 41611 32658343 12.02616705548474 14.079744574818916 790.4981362250085 677.1502739876169 3205 1211 4322 41580 31 98 31 3076 3021 2946 2844 2769 2708 2646 2592 2530 2470 2405 2310 2198 2047 1872 1058 939 788 612 452 308 194 114 64 35 20 12 8 5 4 35784 5201 497 1373 35784 811 5201 3832 41581 827 520 369 5471 4141 955 375 8.64139096836513 32.289101726687115 5.44607329842932 19.203648213608837 1.6693333333333333 5.510474873668633 6688997.491668679 147837.72414192412 6713000.310994765 152769.869482851 6746618.92 150633.1214490536 7293.755131610722 41813.867570552226 2540.707853403141 16704.85438901265 169.5529411764706 759.3776708982319 2960 25844 2687 182 117 564 29 0
15 7500008 44131 35399565 11.337860819482552 13.483043190832603 808.7529414452491 676.103632486549 3253 1220 4451 44012 119 149 119 3138 3077 3001 2903 2821 2754 2700 2639 2577 2509 2438 2341 2230 2070 1887 1075 955 804 626 449 308 193 113 66 36 20 12 8 5 4 38277 5132 454 1430 38277 834 5132 3947 44013 815 602 320 5685 4288 1009 388 8.926539179104477 33.34203749851288 5.086223984142715 17.59473860450764 1.8608247422680413 7.815362877513525 7197795.229477612 150316.56804259474 7211296.012884043 155597.14889786922 7241018.396907217 142593.44301947928 7661.434934701492 43589.74809203053 2482.28373015873 17315.828473286223 228.89447236180905 1491.0313451976149 3024 27448 2812 208 111 662 27 0
16 8000010 46523 37575017 10.753290322580645 13.04950788014546 817.5357469213699 672.313448752631 3314 1277 4566 46428 95 126 95 3173 3112 3033 2937 2851 2788 2716 2660 2596 2522 2449 2351 2240 2076 1888 1051 937 774 611 441 294 184 110 64 35 20 12 8 5 4 40159 5436 707 1438 40159 793 5436 4048 46429 889 509 500 5871 4329 985 557 9.276738276738277 37.92234713337786 5.518781725888325 18.514146052705584 1.666068222621185 6.134050123337711 7690093.76946177 147069.16591352952 7719511.842639594 157972.01360199545 7761108.741472173 129795.49123113551 8027.3661353661355 50259.254574412524 2809.246700507614 18948.69185383449 347.31736526946105 1973.7909950690243 3164 29755 2751 253 109 484 26 0
17 8500007 44425 35905742 11.263684281659684 13.471644320675843 816.2349852239146 674.5686231564023 3289 1286 4503 44307 118 122 118 3153 3093 3011 2917 2834 2768 2707 2653 2586 2526 2452 2357 2247 2072 1869 1083 963 795 637 466 308 194 118 68 36 20 12 8 5 4 38388 5233 564 1453 38386 835 5233 4010 44306 840 552 374 5717 4283 996 438 8.96287648844268 36.82150215902102 5.254016064257028 17.435854901454597 1.8356164383561644 7.589195636624405 8189250.0658417 149987.74796015583 8215997.071285141 149236.11085145333 8249740.938356165 144611.99723431724 7711.2839794488555 48414.20481711744 2869.375502008032 18688.62660404401 149.53403141361255 649.2015151937362 3130 27648 2754 194 94 467 25 0
18 9000010 45562 35874996 10.981047962052003 13.301538774393363 794.8118173560493 675.6214269705304 3309 1238 4545 45532 30 104 30 3180 3108 3020 2931 2842 2782 2718 2658 2599 2543 2471 2372 2246 2065 1880 1056 940 784 616 454 299 191 116 67 36 20 12 8 5 4 39346 5442 640 1456 39346 868 5441 4008 45533 1007 504 372 5957 4436 1037 484 8.86970243462579 33.505436755175936 5.247830279652844 16.26933980069956 1.5991735537190082 4.861299353563682 8694750.496844003 149806.6631907933 8712716.209257474 150349.6370772486 8764251.719008265 149333.8718589674 7407.836564472498 42772.6058450227 2880.076181292189 17581.12934159087 161.51461988304092 720.5388212875529 3231 29353 2846 226 107 569 29 0
19 9500024 46826 36994181 10.68718343271142 13.12274307618005 799.1600060485613 673.528586190516 3415 1257 4582 46707 119 99 119 3272 3197 3111 3020 2936 2870 2815 2765 2699 2613 2521 2417 2285 2103 1909 1071 954 803 637 464 306 196 115 64 35 20 12 8 5 4 38857 7072 679 1451 38857 858 7071 4093 46708 930 578 463 5926 4347 1061 518 8.938808373590982 35.89872778448762 6.665409990574929 26.03439688035152 1.7316602316602316 6.99931050106705 9189838.412008282 149362.70761079376 9213975.294062205 150647.3058563968 9252541.913127413 143159.14338315537 7361.277432712215 44563.35792091139 4675.556079170594 31669.06132273497 182.41798941798942 894.4666585036041 3078 28997 2833 205 85 535 30 0
