%batchNum lastTS numPackets totalBytes avgInterAT stdInterAT avgLength stdLength ipSrc ipDst ipSrcDst ipv4 ipv6 icmp4 icmp6 ipMaskSrc[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] ipMaskDst[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] numTCP numUDP  othersL4 srcPortTCP dstPortTCP srcPortUDP dstPortUDP ipSrcPort ipDstPort tcpSyn tcpFin tcpRes flows flowsTCP flowsUDP flowsOther avgPacketsFlowTCP stdPacketsFlowTCP avgPacketsFlowUDP stdPacketsFlowUDP avgPacketsFlowOther stdPacketsFlowOther avgInterAtFlowTCP stdInterAtFlowTCP avgInterAtFlowUDP stdInterAtFlowUDP avgInterAtFlowOther stdInterAtFlowOther avgLengthFlowTCP stdLengthFlowTCP avgLengthFlowUDP stdLengthFlowUDP avgLengthFlowOther stdLengthFlowOther onePacketFlows httpPackets httpFlows sslPackets sslFlows smtpPackets smtpFlows auxFet
1 500017 49707 18270869 10.062848403131351 11.160301672470101 371.4754198349124 600.0981895727158 1054 3306 4416 49616 91 155 91 938 828 693 549 389 262 163 99 58 32 18 11 7 4 3 3158 3096 3015 2928 2839 2776 2716 2648 2593 2522 2457 2365 2244 2092 1889 42879 6076 506 3250 42879 479 6076 4688 49617 812 561 196 5877 4336 1008 533 9.889068265682656 40.42416936233429 6.027777777777778 20.31617640722594 1.4108818011257036 4.04129713725615 195344.50876383763 147059.99111405632 207547.29166666666 149409.2611813171 270690.97373358347 145866.23175372023 3424.4268911439112 27960.065018323447 3382.0148809523807 15787.351100386191 92.13157894736842 153.34948904210174 2959 33157 3116 125 76 252 21 0
2 1000014 46637 16687194 10.72656870106189 11.907577873437166 361.6437023231623 594.5437351552107 1061 3368 4478 46545 92 144 92 945 843 701 553 398 266 166 103 58 32 18 11 7 4 3 3235 3165 3083 2997 2901 2831 2762 2704 2640 2570 2488 2401 2288 2140 1934 39852 6073 476 3286 39851 494 6072 4669 46545 814 457 108 5811 4341 981 489 9.180373185901866 38.02160844905451 6.190621814475025 22.397120100293076 1.456032719836401 4.366398936515265 689987.3637410735 146461.82986565694 709238.8501529052 156101.45174481216 738126.6789366053 142114.79355464637 3023.4290322580646 23885.822984734365 3622.946992864424 19901.004440558252 75.75796178343948 130.4904760172565 2960 29686 3032 120 75 290 24 0
3 1500007 45506 15158265 10.990394548851523 12.19848667914334 336.0825425682866 579.1825765579398 1058 3336 4406 45475 31 110 31 940 834 699 552 395 260 166 101 59 33 19 12 8 5 4 3221 3158 3075 2980 2886 2813 2749 2691 2644 2577 2491 2402 2286 2129 1925 38552 6378 435 3265 38552 513 6378 4643 45476 820 607 147 5781 4287 1070 424 8.992768836015863 38.903689853381145 5.960747663551402 19.972644843787585 1.3584905660377358 1.845443138478802 1190370.1772801492 148820.19472520775 1198435.8271028036 149727.0009931003 1235663.200471698 156302.56627469877 2620.9710753440636 19519.734956293272 3657.2383177570096 20555.641285631333 81.03478260869565 158.96999990427508 2953 28441 3019 104 68 215 20 0
4 2000015 45466 16692586 11.000836028424967 12.181584350728274 371.0559260247177 602.1619070860547 1034 3342 4380 45404 62 120 62 919 818 684 540 393 259 163 99 57 32 18 11 7 4 3 3217 3140 3057 2963 2874 2810 2757 2707 2659 2595 2499 2400 2278 2134 1948 37853 6937 494 3140 37853 529 6937 4526 45405 752 482 138 5677 4099 1105 473 9.23469138814345 43.16992980903495 6.277828054298642 23.031573842557055 1.4291754756871036 3.1110523837539104 1692634.6113686266 149070.1354037947 1716554.2570135747 154678.56993236707 1720913.0021141649 149057.69771837172 3067.4525494022932 27427.357897821366 3719.441628959276 21979.500599648636 72.67424242424242 102.57373548877516 2913 28407 2832 134 78 344 21 0
5 2500035 45873 17650327 10.902947974357856 12.045192039071948 388.1584016889143 607.483537201893 1050 3327 4411 45843 30 119 30 935 821 696 540 392 263 166 101 57 31 18 11 7 4 3 3194 3137 3056 2960 2876 2809 2753 2696 2646 2591 2520 2446 2327 2185 1990 38406 6861 457 3060 38406 510 6860 4380 45844 765 451 141 5614 3981 1200 433 9.647324792765637 41.49032566560826 5.7175 21.61912733360592 1.3995381062355658 2.078149825556277 2199834.2810851545 150669.19998366092 2185299.6908333334 147820.94441961418 2253877.801385681 144849.1233111597 3396.1163024365737 23491.88509340295 3431.8125 22076.652470823108 89.45390070921985 201.65673734421088 2827 28266 2736 146 87 374 19 0
6 3000001 44588 15352979 11.215208613728128 12.422699522910413 350.7594635962808 589.4566779858965 1060 3211 4311 44526 62 110 62 941 850 721 567 412 269 169 100 57 32 18 11 7 4 3 3100 3031 2944 2858 2770 2706 2654 2602 2554 2495 2434 2357 2255 2127 1955 37312 6085 1019 3215 37311 471 6085 4919 44526 842 432 122 5932 4164 953 815 8.960614793467819 38.67839825839191 6.385099685204617 22.97829625180872 1.4613496932515337 6.640736894582369 2695814.381604227 150147.55926614234 2708476.094438615 149395.72620309194 2783880.997546012 133153.78040631075 2681.8957482584674 24125.115132649295 4116.797481636936 22667.56861016962 2092.551181102362 22208.474206188257 3122 29257 2877 119 80 224 22 0
7 3500014 49210 17916147 10.166720884840599 11.315944763390005 370.9689635181581 597.6088427533649 1042 3398 4518 49118 92 133 92 924 828 696 548 408 266 167 100 57 33 19 12 8 5 4 3279 3228 3143 3049 2955 2893 2825 2765 2710 2656 2579 2486 2361 2190 1958 41629 6446 910 3246 41628 565 6445 5142 49118 860 570 149 6359 4290 1153 916 9.703729603729604 39.91612710167662 5.590633130962706 20.581717904053754 1.2390829694323144 3.1100625529029853 3192069.2545454544 146263.65423590643 3177503.0988725065 137623.87418601752 3228802.2762008733 146970.97494082182 3239.6285847516906 25409.437792464458 3464.6392020815265 19938.009948965948 195.4822695035461 998.1079441047979 3416 32110 2995 138 81 213 26 0
8 4000021 46565 17446804 10.742367929189852 12.00457067371323 383.50345085282225 607.0977224336616 1032 3363 4457 46443 122 90 122 930 828 692 544 399 270 174 104 58 32 18 11 7 4 3 3222 3157 3076 2985 2894 2827 2768 2715 2653 2592 2512 2437 2318 2178 1974 38950 6363 1040 3205 38950 484 6363 5101 46444 809 483 194 6311 4234 1063 1014 9.199338686820973 36.24337771185379 5.985888993414863 21.07981070994857 1.2347140039447733 3.9203107392033627 3687529.6150212563 149768.5717075461 3695946.4402634054 146323.4761118024 3753233.540433925 142577.46504737108 3259.9877184695324 22659.25080742422 3414.5183443085607 18130.383412853786 105.82876712328768 321.96602815774094 3432 29571 2947 120 73 250 21 0
9 4500010 48062 17218312 10.407076698928089 11.7038952273403 364.9215445259187 596.4848889592677 1058 3347 4444 48062 0 83 0 945 848 709 561 408 271 171 106 58 32 18 11 7 4 3 3208 3151 3068 2985 2890 2813 2745 2675 2615 2557 2480 2396 2278 2132 1950 40656 6326 997 3178 40656 491 6326 5040 48062 769 436 73 6232 4152 1111 969 9.791907514450868 49.729620587497884 5.693969396939694 19.979917910541353 1.1145510835913313 0.9404344340062217 4190996.797928709 149468.51768305493 4182107.502250225 140583.3945684128 4247468.929824562 147184.42690331605 3311.1375240847783 25406.224290528222 3110.4743474347433 16149.50531440793 104.05333333333333 307.0458163423389 3435 31699 2943 118 73 256 25 0
10 5000004 49131 19778272 10.182669789227166 11.441275267978748 410.5362087216422 617.3130661975739 1046 3473 4584 49071 60 111 60 943 846 697 552 403 266 173 104 60 33 19 12 8 5 4 3359 3284 3204 3107 3016 2947 2879 2814 2746 2680 2605 2516 2389 2239 2063 41203 6789 968 3277 41202 531 6789 5176 49071 902 442 143 6418 4283 1164 971 9.620126079850571 41.54358535329537 5.832474226804123 19.984766535308598 1.173017507723996 2.0344610897851156 4695349.230445949 149704.8094572509 4689368.3908934705 144490.71458485286 4727168.224510813 136482.70775252586 3734.725361980383 30609.82926110459 3241.539518900344 15696.930357048177 102.77941176470588 222.55136551842958 3463 31547 2942 116 76 221 27 0
