%batchNum lastTS numPackets totalBytes avgInterAT stdInterAT avgLength stdLength ipSrc ipDst ipSrcDst ipv4 ipv6 icmp4 icmp6 ipMaskSrc[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] ipMaskDst[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] numTCP numUDP  othersL4 srcPortTCP dstPortTCP srcPortUDP dstPortUDP ipSrcPort ipDstPort tcpSyn tcpFin tcpRes flows flowsTCP flowsUDP flowsOther avgPacketsFlowTCP stdPacketsFlowTCP avgPacketsFlowUDP stdPacketsFlowUDP avgPacketsFlowOther stdPacketsFlowOther avgInterAtFlowTCP stdInterAtFlowTCP avgInterAtFlowUDP stdInterAtFlowUDP avgInterAtFlowOther stdInterAtFlowOther avgLengthFlowTCP stdLengthFlowTCP avgLengthFlowUDP stdLengthFlowUDP avgLengthFlowOther stdLengthFlowOther onePacketFlows httpPackets httpFlows sslPackets sslFlows smtpPackets smtpFlows auxFet
1 500023 59097 17033786 8.471406308229156 9.417351150581736 290.05663493793315 551.5673247510551 1057 3395 4501 59036 61 124 61 936 838 710 557 405 270 168 103 57 32 18 11 7 4 3 3269 3209 3139 3038 2949 2878 2814 2748 2696 2630 2562 2463 2340 2178 1977 52584 5655 673 3370 52584 606 5655 4838 59037 823 540 222 6011 4414 1224 373 11.913004077933847 53.18766946439672 4.620098039215686 13.206937669815023 2.3002680965147455 10.841411025760928 194940.18418667876 150427.1893626722 224747.83905228757 149128.75612835822 248703.23860589814 149554.5414030126 3032.665382872678 23669.982514069525 2740.1372549019607 13319.117535452662 2352.344 24010.382451764486 2957 43153 3189 126 73 118 29 0
2 1000014 61285 19766833 8.167888934258881 9.175468385310506 324.9595265494 574.4329087983249 1083 3318 4420 61164 121 131 121 963 847 718 560 410 272 168 101 57 32 18 11 7 4 3 3197 3127 3043 2947 2858 2787 2720 2665 2607 2530 2455 2368 2253 2085 1900 54517 5830 686 3226 54516 502 5830 4583 61164 745 451 204 5738 4260 1042 436 12.797417840375587 54.335881590059934 5.595009596928983 17.44294235511425 2.1513761467889907 10.266964033185058 691069.4631455399 150108.80621532784 702986.3426103647 155846.73026952325 745427.3325688073 145800.5064399452 3796.7818736792674 27852.88036998037 3192.390595009597 14219.00652721284 1732.8397435897436 18926.261461700953 2697 44434 3012 109 75 177 30 0
3 1500002 60982 19392272 8.211622140851546 9.320576075120686 319.8360793627233 569.3568200269553 1048 3284 4381 60950 32 84 32 938 830 704 550 400 269 164 99 57 32 18 11 7 4 3 3160 3079 3005 2916 2833 2760 2696 2648 2592 2522 2445 2357 2234 2086 1891 54097 6121 648 3183 54097 527 6121 4501 60951 690 463 147 5695 4205 1119 371 12.864922711058265 58.43849170472274 5.47006255585344 16.1559092850182 2.059299191374663 9.431838035778267 1190173.8994054697 150122.01849969916 1219086.761394102 143028.1783036465 1253110.8194070081 153643.60714317943 3698.9712247324615 26894.828493453366 3199.7899910634496 15569.283701237373 2063.056 21353.669735387404 2839 45066 2928 102 69 128 26 0
4 2000003 60805 21756991 8.235298960923478 9.242682190475612 360.4372142336492 595.1104172925625 1061 3326 4398 60743 62 135 62 940 833 692 547 407 272 171 102 57 32 18 11 7 4 3 3191 3130 3043 2944 2848 2775 2709 2652 2597 2530 2458 2362 2242 2076 1887 54206 5857 545 3216 54206 478 5856 4535 60744 702 432 182 5703 4236 1016 451 12.796506137865912 68.2921396367561 5.764763779527559 15.660051236327723 1.6452328159645233 4.127405567472567 1695515.3796033994 150806.27184894314 1710074.622047244 157015.7877179865 1738186.0953436808 142120.18623952087 4287.990321057601 61361.58633269189 3485.236220472441 15494.734400966545 362.1034482758621 2530.499579952135 2833 44937 2955 93 68 109 28 0
5 2500012 58792 19314622 8.514761969624736 9.477631321746632 330.8274527267745 576.9831846794584 1065 3398 4459 58761 31 133 31 937 837 702 551 393 263 164 97 57 32 18 11 7 4 3 3252 3181 3105 3018 2936 2870 2807 2741 2676 2610 2540 2437 2310 2154 1956 51483 6603 542 3079 51483 607 6603 4532 58762 677 465 143 5720 4113 1164 443 12.517140773158278 53.11832343881119 5.672680412371134 18.037308605172033 1.5936794582392777 3.9711146663125025 2192779.5645514224 153149.71355043442 2214060.4364261166 146127.39586429924 2236515.374717833 151065.21322799142 3755.4522246535375 27065.64344285365 3310.481513327601 16743.69394701783 121.85064935064935 355.5826935440643 2928 42315 2898 100 70 115 23 0
6 3000014 57421 17152352 8.71768007809776 9.79622053776298 300.5925030229746 555.233723905714 1081 3367 4491 57421 0 139 0 945 842 696 554 409 274 174 104 59 33 19 12 8 5 4 3228 3153 3064 2987 2892 2837 2769 2715 2654 2598 2524 2435 2312 2146 1949 50445 6303 534 3249 50444 453 6303 4567 57421 675 533 155 5882 4313 1120 449 11.69603524229075 59.318408147018076 5.6276785714285715 17.763852743301896 1.4988864142538976 3.113302159135172 2696040.69047067 150022.58719074854 2709590.163392857 149581.2325112208 2741064.3273942093 141328.9499351682 3135.6326530612246 25173.839010193336 3219.3348214285716 16208.962786449354 184.55633802816902 589.028580812582 3048 41489 3015 122 87 71 24 0
7 3500003 55940 17417889 8.948054039545495 9.974617513587365 314.01972272801027 565.0622529499262 1046 3199 4269 55820 120 86 120 917 816 674 536 387 261 166 101 58 32 18 11 7 4 3 3065 3003 2924 2843 2757 2693 2636 2584 2527 2465 2385 2299 2181 2016 1848 48957 6276 501 3153 48957 472 6274 4439 55821 655 528 113 5530 4123 1006 401 11.874120785835556 55.06530420675958 6.238568588469185 18.623159441792723 1.7630922693266833 6.631369567754436 3194023.218530196 149223.27994290472 3207331.912524851 143682.33103757625 3247106.311720698 141590.24999358848 3347.1025951976717 25010.086449093353 3575.3180914512923 17640.375842448004 177.5702479338843 403.52856873476003 2733 40350 2885 116 80 116 24 0
8 4000008 60749 19301920 8.240969613077581 9.06795473330584 320.0044762015285 570.1167596035876 1064 3244 4301 60631 118 106 118 929 826 692 555 397 269 170 102 57 32 18 11 7 4 3 3094 3022 2933 2845 2756 2688 2627 2564 2511 2448 2384 2301 2182 2019 1837 53736 6290 499 3200 53736 452 6290 4464 60632 703 498 173 5647 4206 1026 415 12.776034236804565 63.25252809954957 6.1306042884990255 17.49795309666532 1.7421686746987952 6.446442934364974 3700378.865192582 152277.11400869212 3701078.6081871344 151884.81687200244 3744064.506024096 143061.62878216096 3691.0720399429388 28898.21521228088 3659.0555555555557 17007.371598116308 164.3986013986014 514.988831435689 2789 44940 2952 113 74 122 22 0
9 4500019 57462 19289480 8.712981514713313 9.710311763156403 337.90869915565986 581.2164874616607 1053 3271 4372 57434 28 93 28 917 819 684 549 390 263 165 102 58 32 18 11 7 4 3 3128 3051 2970 2888 2802 2735 2670 2615 2568 2507 2436 2342 2217 2057 1901 50539 6320 482 3157 50539 555 6319 4529 57435 698 436 125 5681 4226 1074 381 11.95906294368197 57.59227045931406 5.884543761638733 19.888609730709792 1.5826771653543308 3.6496862842925664 4190651.9058211073 150616.62527406914 4209275.621042831 151251.95765497943 4241708.614173228 142547.14610480517 3637.9652153336488 27635.239542613246 3628.711359404097 17243.070639969323 148.632 339.4845033282079 2819 42592 2978 153 72 70 22 0
10 5000013 54265 17585216 9.226890291154655 9.970186932902946 326.26917011447335 574.598154170573 1061 3262 4398 54203 62 95 62 931 825 684 554 401 272 168 101 58 32 18 11 7 4 3 3119 3063 2984 2901 2824 2762 2696 2638 2584 2523 2448 2360 2242 2077 1898 47884 5712 512 3214 47883 573 5712 4597 54203 724 481 114 5724 4207 1143 374 11.3819824102686 61.14038485590375 4.997375328083989 15.301090143517634 1.7887700534759359 5.071415121728688 4691970.951984787 151470.57046319175 4706446.238845144 158453.31454793978 4741638.807486631 143813.86360153183 3257.715168806467 25853.767678305874 3378.647419072616 18471.460907322507 176.11290322580646 583.9155028907256 2865 38858 2971 125 84 94 22 0
