%batchNum lastTS numPackets totalBytes avgInterAT stdInterAT avgLength stdLength ipSrc ipDst ipSrcDst ipv4 ipv6 icmp4 icmp6 ipMaskSrc[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] ipMaskDst[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] numTCP numUDP  othersL4 srcPortTCP dstPortTCP srcPortUDP dstPortUDP ipSrcPort ipDstPort tcpSyn tcpFin tcpRes flows flowsTCP flowsUDP flowsOther avgPacketsFlowTCP stdPacketsFlowTCP avgPacketsFlowUDP stdPacketsFlowUDP avgPacketsFlowOther stdPacketsFlowOther avgInterAtFlowTCP stdInterAtFlowTCP avgInterAtFlowUDP stdInterAtFlowUDP avgInterAtFlowOther stdInterAtFlowOther avgLengthFlowTCP stdLengthFlowTCP avgLengthFlowUDP stdLengthFlowUDP avgLengthFlowOther stdLengthFlowOther onePacketFlows httpPackets httpFlows sslPackets sslFlows smtpPackets smtpFlows auxFet
1 2000018 46923 36907039 42.63086432910583 47.55916702948914 799.9441674975075 691.6109590285587 2629 1689 4216 46639 284 204 284 2573 2539 2509 2478 2445 2414 2377 2342 2309 2263 2222 2166 2087 1983 1833 1243 1087 925 747 563 381 232 129 68 37 21 13 9 6 5 36739 7512 2184 1937 36737 940 7512 4075 46638 1076 616 262 5432 3081 1169 1182 11.924375202856215 69.33721089948529 6.426005132591959 28.348286029088204 2.260575296108291 24.692748135650955 788736.0976955534 615114.1975401237 848175.1445680069 602496.1291273956 975369.0355329949 581020.9148283028 10897.97987012987 95489.96115559689 2650.8340461933276 27021.46535389384 294.10036275695285 1345.0006014481962 3243 16757 941 10265 782 24 9 0
2 4000008 44190 34921335 45.2599289415918 49.863446108590864 804.211979550479 690.2888836285072 2602 1571 4046 43909 281 208 281 2549 2517 2478 2443 2408 2391 2363 2337 2300 2256 2217 2161 2080 1969 1828 1149 1008 861 695 525 369 233 132 68 36 20 12 8 5 4 35045 6305 2351 1727 35043 948 6305 3888 43908 888 483 297 5283 2894 1170 1219 12.109536973047685 61.45142647792148 5.388888888888889 21.01745306485382 2.3297785069729287 24.473672046953926 2775203.3096060813 608757.855718359 2817028.2769230767 592742.8223827832 3004278.0410172273 596592.1615464182 11111.722087798133 85501.93929053163 2148.8307692307694 16664.024890040742 307.94941176470587 1429.267483713248 3177 15047 917 10502 713 22 6 0
3 6000010 43027 30811586 46.488006136395335 49.50970338624807 727.5622904368358 689.6511320882138 2597 1553 4069 42778 249 185 249 2542 2512 2487 2458 2424 2400 2369 2337 2305 2264 2218 2171 2093 1996 1859 1126 989 849 674 511 352 226 128 70 38 22 14 10 7 6 33264 7113 2216 1912 33262 909 7113 4062 42777 1014 571 267 5316 2978 1177 1161 11.169912693082606 51.75453507282654 6.0433305012744265 24.208788085336852 2.2825150732127475 25.032141268148866 4759073.304566823 601057.1767777326 4801569.049277825 586461.3159001457 4928184.367786391 583812.611913038 9404.784010749076 69643.80143077769 2176.9124149659865 18219.541638569226 310.34432234432234 1451.3044719595093 3084 11035 891 12238 817 44 12 0
4 8000002 42635 29453923 46.91861965420977 52.2190258350315 702.4882301032698 691.6064597173073 2692 1673 4313 42449 186 201 186 2641 2612 2579 2544 2502 2481 2440 2404 2373 2324 2271 2218 2145 2034 1893 1227 1070 916 719 534 367 228 129 68 37 21 13 9 6 5 32499 7489 2260 1876 32497 967 7489 4132 42448 1003 485 280 5575 3058 1259 1258 10.627534336167429 44.42467040671867 5.948371723590151 24.731376526765704 2.104133545310016 23.53492483107714 6810296.879659909 633140.8149534978 6834563.880063542 592042.3452758912 6943933.4618441975 571525.5675646368 8716.491985606805 58439.19061111281 2036.929252782194 17070.203474562248 286.54545454545456 1351.8630764205661 3441 11461 943 11076 793 39 7 0
5 10000001 45408 33772335 235.71194467082222 40837.349028955294 756.3114544843802 691.107579887489 2709 1757 4372 45168 240 211 240 2637 2594 2551 2523 2488 2460 2417 2381 2340 2291 2244 2190 2102 2002 1869 1244 1079 908 708 525 356 226 131 68 36 20 12 8 5 4 35626 7058 2273 1899 35623 954 7058 4158 45166 1047 567 299 5620 3076 1272 1272 11.581924577373211 50.732335161603636 5.54874213836478 24.39150989006177 2.141509433962264 23.607525316566473 8788694.761703512 616416.2856322194 8837130.450471697 584177.1506905477 8953210.16745283 565250.3261427061 10017.601300813008 63204.38413409375 2136.688679245283 24989.025169898563 297.8600237247924 1390.7891834450193 3454 13390 952 11371 690 6 5 0
6 12000010 46269 33250113 43.22663611999654 48.15271757013075 732.3358734913223 693.9436379427201 2701 1757 4399 45933 336 194 336 2639 2606 2566 2537 2503 2479 2442 2414 2372 2324 2284 2211 2134 2029 1882 1179 1016 855 683 508 353 226 128 69 37 21 13 9 6 5 36307 7194 2238 2057 36305 1029 7194 4358 45932 1196 579 332 5700 3131 1294 1275 11.595975726604918 49.58313930772305 5.559505409582689 25.229089463905417 2.1709803921568627 24.17482080149331 1.0818296165761737E7 620790.2968887942 1.085058876584235E7 570767.8952361146 1.0968236971764706E7 561717.2073237941 9812.674440894569 63822.38228854845 1773.2351121423046 14834.94860309458 286.65181711606095 1326.3524991247045 3618 14266 1007 10549 754 23 12 0
7 14000004 45782 34656156 43.6871122761031 47.974167315089844 770.2741537572512 692.1403514840849 2767 1887 4559 45531 251 202 251 2714 2685 2641 2603 2573 2554 2518 2483 2452 2398 2343 2275 2196 2090 1942 1235 1044 882 704 531 369 233 131 68 36 20 12 8 5 4 35594 7397 2338 2054 35592 970 7397 4290 45530 1204 388 309 5703 3219 1217 1267 11.057471264367816 51.318039341458736 6.078060805258834 25.982375038746312 2.20284135753749 23.633381071446223 1.2828411467225846E7 621490.4288119477 1.2836328546425637E7 599350.4126713949 1.297494187056038E7 568556.390705181 9763.076444996892 68779.32426603157 2435.934264585045 23718.09117637726 321.8185011709602 1498.9773742849713 3686 13650 942 11285 748 20 6 0
8 16000010 45866 33708987 43.60835531910254 48.41643218948555 747.3948517836951 693.4088524068865 2791 2220 4919 45584 282 188 282 2727 2682 2635 2593 2549 2527 2488 2457 2423 2390 2334 2279 2209 2099 1945 1302 1083 902 714 514 350 224 128 68 36 20 12 8 5 4 35928 7235 2233 1924 35926 995 7235 4235 45583 1537 478 309 6080 3577 1301 1202 10.044171093094771 52.407176617604534 5.561106840891622 26.39229850630314 2.2487520798668883 24.439694533385463 1.4705021661727704E7 633319.5811484888 1.4843228550345888E7 594428.3435270037 1.4953517920133112E7 593054.7490370164 8678.331096196867 69797.74005160168 1860.2951575710993 17220.930701748817 311.56394640682095 1412.3124794413845 3943 13410 900 10875 765 21 7 0
9 18000084 47026 34506004 42.53685665674181 46.7114282452505 745.9148959166469 694.2182609987673 2778 1762 4462 46809 217 200 217 2725 2695 2659 2627 2590 2568 2531 2507 2475 2427 2367 2308 2235 2127 1965 1254 1093 939 735 554 378 237 132 69 37 21 13 9 6 5 36788 7567 2254 2057 36786 964 7567 4309 46808 1145 519 440 5677 3167 1206 1304 11.616040416798231 56.7316763990045 6.274461028192372 30.08686980495035 2.048312883435583 22.872093666992022 1.6797016184401643E7 619432.4445933508 1.684003053565506E7 593378.3810983081 1.697064082285276E7 558707.9812793304 9821.693619709413 70889.93692441254 2626.6492537313434 33226.99190605745 285.5193434935522 1325.9248788263756 3490 12826 840 11714 821 75 11 0
10 20000055 48485 37089970 41.25537357151698 44.43132663356544 776.7686910994764 694.53111715106 2750 1793 4475 48267 218 201 218 2690 2659 2621 2586 2557 2533 2505 2471 2435 2388 2347 2293 2211 2086 1925 1206 1033 862 676 501 341 219 128 68 37 21 13 9 6 5 38446 7410 2210 2066 38444 972 7410 4301 48266 1295 471 310 5726 3246 1215 1265 11.84411583487369 59.2924911526379 6.098765432098766 26.853052335872107 2.0782608695652174 23.112271093486555 1.8794158210412815E7 596865.2710778973 1.8841642053497944E7 601520.214629486 1.8983624617391303E7 578486.5545501655 10510.957781201849 77446.04153305847 2246.0238683127573 22694.53348524171 298.1527614571093 1394.017729471995 3576 14173 924 12208 755 41 12 0
11 22000028 47170 38067921 42.40293855743544 44.95235596624496 820.7469978224781 688.9676429082728 2628 1617 4151 46857 313 216 313 2580 2552 2519 2484 2450 2430 2392 2366 2327 2281 2237 2182 2109 1993 1857 1117 977 827 683 514 345 220 127 70 38 22 14 10 7 6 37491 6899 2251 1811 37489 948 6899 3970 46856 982 411 318 5261 2868 1153 1240 13.072175732217573 69.78486566292685 5.983521248915872 26.35071024879187 2.2419354838709675 24.609809871989743 2.078820070013947E7 611579.813055575 2.0819526205550738E7 581166.3922937395 2.0951480115322582E7 590940.4306246977 12262.124171607953 93370.74063291098 2301.8065915004336 25498.443531941404 295.57012542759406 1388.5737143166798 3322 13756 805 11880 681 19 6 0
12 24000116 48806 38301203 40.983812138846766 44.1667178682709 796.1980418243047 692.9255672925301 2640 1655 4203 48557 249 175 249 2591 2559 2521 2489 2457 2430 2394 2361 2324 2272 2231 2176 2090 1969 1839 1133 962 812 658 496 344 223 127 68 36 20 12 8 5 4 39206 6904 2272 1898 39204 923 6904 4077 48556 1022 449 329 5363 2999 1154 1210 13.07302434144715 78.74141690947849 5.982668977469671 23.72789493964641 2.2280991735537192 24.260705228451588 2.278498924108036E7 610511.0676344318 2.2841841954939343E7 598815.6120721272 2.297129532231405E7 580867.6853775296 12033.645096731154 109246.01918088632 1686.971403812825 13481.268103309503 325.46198830409355 1687.1453283769977 3333 15605 859 12378 760 17 6 0
