%batchNum lastTS numPackets totalBytes avgInterAT stdInterAT avgLength stdLength ipSrc ipDst ipSrcDst ipv4 ipv6 icmp4 icmp6 ipMaskSrc[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] ipMaskDst[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] numTCP numUDP  othersL4 srcPortTCP dstPortTCP srcPortUDP dstPortUDP ipSrcPort ipDstPort tcpSyn tcpFin tcpRes flows flowsTCP flowsUDP flowsOther avgPacketsFlowTCP stdPacketsFlowTCP avgPacketsFlowUDP stdPacketsFlowUDP avgPacketsFlowOther stdPacketsFlowOther avgInterAtFlowTCP stdInterAtFlowTCP avgInterAtFlowUDP stdInterAtFlowUDP avgInterAtFlowOther stdInterAtFlowOther avgLengthFlowTCP stdLengthFlowTCP avgLengthFlowUDP stdLengthFlowUDP avgLengthFlowOther stdLengthFlowOther onePacketFlows httpPackets httpFlows sslPackets sslFlows smtpPackets smtpFlows auxFet
1 2000003 48008 33753230 41.661563137941094 47.40241512532214 713.613911205074 683.569980549664 2634 2551 5359 47696 312 187 312 2589 2558 2521 2484 2453 2431 2392 2361 2324 2276 2232 2177 2104 2004 1858 1466 1210 993 772 562 374 239 134 70 38 22 14 10 7 6 37696 7285 2528 3339 37694 923 7284 5533 47695 1569 783 291 7371 4635 1161 1575 8.132901833872708 45.03901940105284 6.274763135228252 29.547491662844944 1.921904761904762 17.077675021119944 849737.6664509169 604548.6314432247 818349.5641688199 592813.9222880322 1005447.8438095239 582321.823609485 6546.221191195511 61883.50658480282 2597.6511627906975 32086.987693930645 315.73354231974923 851.4095541160701 4469 17696 1154 7869 1797 124 14 0
2 4000002 48795 36134308 40.99036727332349 45.33623157322618 753.3175241827885 685.6737736946205 3188 2600 6033 48485 310 357 310 2996 2923 2871 2830 2788 2760 2727 2693 2659 2612 2569 2511 2436 2319 2153 1501 1221 977 754 543 370 232 131 69 37 21 13 9 6 5 38595 7037 2496 3129 38593 988 7035 5848 48484 1595 583 255 7782 4434 1506 1842 8.704330175913396 46.597001612919144 4.672642762284196 19.210565237209128 1.717155266015201 15.794417573717066 2879946.8062697337 617420.678407635 2915834.888446215 570918.3621292615 3013955.595548317 563643.8065723581 7526.323708549515 64759.5243651726 1577.0066401062418 14799.44164747526 279.4424841213832 788.832172384679 5160 16173 1000 11516 1610 154 14 0
3 6000021 50457 39003356 39.63969874145278 43.62898822590427 784.6171269940255 683.8336906626383 2787 2876 5825 50209 248 219 248 2727 2691 2648 2604 2568 2537 2490 2456 2419 2379 2334 2272 2191 2076 1928 1566 1256 1000 757 545 371 230 130 68 36 20 12 8 5 4 40324 7305 2361 3471 40322 919 7305 5697 50208 1904 568 329 7571 4732 1164 1675 8.521555367709214 51.806607264064475 6.275773195876289 27.9003658107046 1.6883582089552238 12.688906895747767 4853869.862003381 599122.2077008311 4818162.326460481 586181.4432708862 4963644.870447761 584809.8434295389 7496.110758824772 72000.53943040047 2704.168384879725 28481.210716943213 310.6492478226445 708.0692330531784 5095 19210 992 11511 1653 63 9 0
4 8000051 48308 36690067 41.40338674284768 48.85970840108148 769.7944317395045 681.2850455600949 2649 2410 5259 47996 312 286 312 2593 2560 2522 2488 2451 2420 2381 2354 2320 2267 2227 2164 2079 1976 1838 1424 1176 970 741 537 369 226 130 69 37 21 13 9 6 5 38879 6698 2133 3243 38877 921 6698 5398 47995 1385 719 258 7197 4549 1159 1489 8.546713563420532 71.21175837364277 5.779119930974979 22.608247901297503 1.8341168569509738 13.715202626133157 6806520.2503847 609691.1243032367 6838036.410698879 584952.9768460365 6987668.756212223 576382.7382161504 7460.439313984169 100190.06394407619 2031.532355478861 18428.80806176085 324.3514376996805 731.5586406628211 4232 23433 1059 7146 1929 4 4 0
5 10000059 45445 32626203 44.01536125354871 52.5452787237838 726.3944251491673 680.9563935334071 2549 2411 5158 45228 217 236 217 2506 2475 2447 2411 2379 2357 2323 2299 2267 2226 2196 2148 2064 1971 1822 1429 1182 975 748 545 368 231 129 69 37 21 13 9 6 5 36341 6518 2133 3070 36339 956 6517 5144 45227 1490 556 302 7016 4336 1211 1469 8.381226937269373 56.73011380041572 5.382328654004954 22.023502947554118 1.7603812117086453 12.546848898854003 8828441.691190036 602338.2732292118 8870788.218827415 591622.4604328467 8994421.446562286 582566.9530912802 6902.742099192618 79748.019210142 1907.2312138728323 19902.605106881423 322.16693944353517 737.1520761050976 4382 21007 988 6992 1777 18 5 0
6 12000045 47052 34379283 42.509564699880976 49.419211225906714 741.1068118128907 682.0274807046275 2669 2507 5315 46712 340 174 340 2618 2587 2548 2509 2472 2446 2407 2374 2334 2286 2239 2183 2105 1990 1838 1429 1176 966 753 559 376 228 130 69 37 21 13 9 6 5 37601 6873 2064 3299 37599 981 6873 5467 46711 1598 608 360 7286 4615 1221 1450 8.147562296858071 53.44311989322848 5.628992628992629 21.10499861220006 1.7779310344827586 14.234877032764668 1.0814742047453955E7 602783.3779887239 1.0847412017199017E7 600522.9751494011 1.0984860469655173E7 576582.5693070842 6883.72821846554 74339.6400299811 1834.3243243243244 14771.111107153902 314.0240464344942 610.2231179915616 4721 20410 1077 7807 1821 23 8 0
7 14000008 46382 33181606 43.12603773584906 49.0408090144021 726.710475022448 682.0647198929139 2572 2436 5194 46076 306 194 306 2510 2486 2456 2423 2388 2374 2336 2314 2273 2230 2187 2121 2036 1934 1800 1449 1198 975 755 541 372 235 132 69 37 21 13 9 6 5 36694 7081 2107 3239 36692 957 7081 5400 46075 1606 609 302 7154 4500 1200 1454 8.154222222222222 38.88415558496231 5.900833333333333 23.427334462119244 1.7929848693259973 13.78913712360132 1.2854994144888889E7 598693.7862578365 1.2864555379166666E7 601179.2621819108 1.2929820440165062E7 555592.6977504898 6664.146921538119 53018.70781503109 2370.85 21839.489671865045 310.85739282589674 674.1267459768192 4260 16454 962 11148 1809 35 10 0
8 16000038 87456 27030336 22.88101176039903 41.78886375288731 311.47815816461747 571.6337869514276 2563 45854 49942 87238 218 164 218 2508 2471 2430 2396 2366 2341 2305 2277 2242 2202 2155 2102 2016 1909 1773 13159 7237 3960 2053 1030 518 261 133 68 36 20 12 8 5 4 77990 7267 1817 3117 77988 964 7267 5246 87237 46599 718 409 51929 49593 1192 1144 1.5726009719113585 11.489612312672588 6.096476510067114 23.03183891978332 1.9222027972027973 14.070781361100318 1.5714574992135987E7 341401.2966913678 1.4818276770134227E7 586682.7752417871 1.4963404729895106E7 578667.7112453221 488.42444345862236 15580.891540920662 2167.412751677852 16615.455925177317 276.69693251533744 743.1629931285789 49086 17014 1009 51972 47026 40 9 0
9 18000051 45782 33435843 43.68947966272008 49.546812698785196 741.6992524566891 688.1567010135419 2546 1999 4818 45500 282 178 282 2499 2471 2430 2399 2368 2345 2310 2280 2242 2199 2164 2107 2044 1964 1817 1379 1169 976 766 569 386 231 127 68 36 20 12 8 5 4 36381 7172 1769 2886 36379 920 7172 4950 45499 1424 696 538 6738 4482 1151 1105 8.117135207496654 47.88917231099177 6.231103388357949 25.995321372805005 2.0171945701357465 15.45145660810712 1.6778828621151272E7 616396.7523477118 1.6842303209383145E7 611934.8555732508 1.6971485103167422E7 563374.6699470291 6705.270698504798 67167.0110006882 2749.456125108601 25780.912301392553 282.0025 775.0686663128629 4024 17902 1103 9424 1893 28 9 0
10 20000075 43548 25259803 45.93011826845792 52.09681184650348 588.0802020766401 676.5529971001381 2715 1968 4847 43301 247 180 247 2664 2636 2603 2576 2541 2524 2491 2457 2421 2377 2321 2262 2180 2073 1918 1300 1104 918 706 518 353 222 129 68 36 20 12 8 5 4 34228 7157 1736 3195 34226 995 7157 5356 43300 1403 701 369 6754 4470 1215 1069 7.657270693512304 46.680639486925166 5.890534979423868 25.263695711191076 2.0233863423760523 15.085785254491102 1.8821080972035795E7 586737.7699432062 1.88621840345679E7 612445.1606334327 1.9003043996258184E7 594759.0980416713 4936.599015439696 32302.098174614515 2445.7654320987654 23878.39556062748 272.99399038461536 773.8349338248386 3819 15066 1045 9270 1795 36 14 0
