%batchNum lastTS numPackets totalBytes avgInterAT stdInterAT avgLength stdLength ipSrc ipDst ipSrcDst ipv4 ipv6 icmp4 icmp6 ipMaskSrc[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] ipMaskDst[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] numTCP numUDP  othersL4 srcPortTCP dstPortTCP srcPortUDP dstPortUDP ipSrcPort ipDstPort tcpSyn tcpFin tcpRes flows flowsTCP flowsUDP flowsOther avgPacketsFlowTCP stdPacketsFlowTCP avgPacketsFlowUDP stdPacketsFlowUDP avgPacketsFlowOther stdPacketsFlowOther avgInterAtFlowTCP stdInterAtFlowTCP avgInterAtFlowUDP stdInterAtFlowUDP avgInterAtFlowOther stdInterAtFlowOther avgLengthFlowTCP stdLengthFlowTCP avgLengthFlowUDP stdLengthFlowUDP avgLengthFlowOther stdLengthFlowOther onePacketFlows httpPackets httpFlows sslPackets sslFlows smtpPackets smtpFlows auxFet
1 2000010 42705 17286258 46.840999578434584 51.634972476875724 409.7557362283114 604.6005566718441 867 2584 3516 42501 204 199 204 725 649 546 425 319 219 144 95 58 33 19 12 8 5 4 2529 2496 2461 2426 2389 2371 2330 2303 2261 2220 2178 2115 2043 1939 1799 30439 10494 1369 1516 30438 135 10494 2630 42501 996 596 174 4728 3026 1045 657 10.059153998678124 36.54872075413919 10.042105263157895 71.37285345652306 2.6971080669710807 24.944931739383378 755108.3159286187 590149.9324936665 856686.3483253588 622281.8786699412 1012562.2678843227 585770.0471879753 2809.038347107438 16893.765801561727 8335.701435406698 95517.48081114856 214.82513661202185 1526.3801977871442 2320 14466 1229 7300 753 16 11 0
2 4000164 41894 20035441 47.75135483562919 55.024712249582066 484.0769509543368 637.9830996912572 903 2463 3427 41683 211 170 211 767 687 573 450 338 233 153 98 58 32 18 11 7 4 3 2413 2387 2358 2328 2294 2276 2238 2213 2179 2140 2089 2030 1969 1859 1729 29417 10722 1374 1424 29416 125 10722 2502 41683 910 543 141 4619 2997 1016 606 9.815482148815482 42.50967818516241 10.553149606299213 78.6396270647432 2.896039603960396 26.316711552370922 2686330.4678011346 568401.8492952434 2832553.37992126 587646.0946824772 2999007.481848185 619622.4208916045 3265.207943925234 23276.137414892157 10027.02559055118 107887.5029789296 195.04142011834318 1602.7311859566064 2294 14822 1217 5275 793 46 16 0
3 6000105 42177 22029470 47.42584775907043 52.27101331803135 530.5523204007418 651.9240303207389 866 2514 3415 41930 247 192 247 730 652 547 433 321 225 149 94 58 32 18 11 7 4 3 2466 2429 2399 2361 2322 2298 2261 2229 2194 2152 2114 2062 1986 1870 1744 28576 11715 1447 1423 28575 132 11715 2582 41930 886 421 109 4512 2832 988 692 10.090395480225988 38.91077000778667 11.857287449392713 95.63778558911046 2.7254335260115607 24.999537567977466 4754455.6899717515 593561.6738958539 4802939.770242915 589228.5500523662 4968119.660404624 543157.8001904336 3672.5778876722006 26655.481274805796 11701.795546558704 132822.39826185707 226.84177215189874 1648.1161090350279 2326 12838 1129 6834 759 28 13 0
4 8000001 46671 25448809 42.85751328647351 47.433003362522044 553.406245243221 650.2838069272754 817 2608 3486 46395 276 188 276 702 625 534 410 303 209 138 92 57 32 18 11 7 4 3 2550 2520 2495 2462 2421 2398 2358 2330 2289 2241 2195 2120 2046 1920 1777 31411 13294 1502 1406 31410 136 13294 2550 46395 922 362 88 4641 2857 1089 695 10.994399719986 59.81223098287471 12.20752984389348 122.80847668927471 2.8287769784172663 25.38222909747752 6755405.819040952 593421.5319426976 6859246.888888889 618837.8637188101 7079385.480575539 576433.0637329028 4077.0962885154063 46193.45771865592 12611.957759412306 172579.65646210598 220.82242990654206 1654.1136213314196 2379 15199 1111 6790 774 74 13 0
5 10000010 44952 24296104 44.49817558848396 49.2456810070767 549.4411026435404 653.2797583620679 912 2509 3534 44648 304 183 304 775 689 581 451 342 232 153 99 59 34 20 13 9 6 5 2462 2415 2377 2343 2306 2274 2238 2207 2172 2129 2089 2044 1971 1862 1713 29044 13946 1475 1462 29043 148 13946 2714 44648 1044 455 102 4670 2967 1011 692 9.789012470508931 45.161627874651586 13.794263105835807 145.19692960924664 2.8352601156069364 25.704102144444242 8760203.423997303 592839.7647118121 8814197.15825915 598936.553415198 8929578.270231213 571242.2128198657 3292.8887390424816 34105.298301282855 14307.830860534124 204483.4116068994 210.06472491909386 1653.1769248885064 2255 13565 1136 6571 832 52 14 0
6 12000008 46710 25557183 42.82953937083753 46.11091916433504 555.3040304182509 659.03194544482 852 2503 3427 46411 299 193 299 727 655 556 442 325 225 146 98 59 32 18 11 7 4 3 2445 2416 2381 2349 2316 2293 2256 2234 2205 2168 2119 2049 1991 1891 1755 29530 15196 1492 1398 29529 152 15196 2533 46411 958 422 101 4540 2827 1036 677 10.445702157764414 43.25304162931756 14.667953667953668 169.804787986576 2.930576070901034 26.03466045585574 1.0732135875840113E7 601871.2040531537 1.0789765777027028E7 586462.2857532689 1.0964181682422452E7 587592.8833145731 3278.9355980184005 27952.64946176683 15657.142857142857 239733.78316449074 215.84146341463415 1632.6820445318144 2281 13004 1066 7364 826 8 8 0
7 14000003 47069 26927887 42.499043773905655 46.315271994122014 581.1597893646409 662.9375273944752 841 2610 3513 46825 244 197 244 718 647 547 436 322 221 149 97 57 32 18 11 7 4 3 2551 2513 2479 2445 2401 2367 2330 2298 2260 2208 2157 2084 2009 1907 1750 29291 15746 1591 1484 29290 141 15746 2700 46825 978 359 86 4702 2888 1017 797 10.142313019390581 41.74080753711427 15.482792527040315 192.7489489607325 2.549560853199498 23.109498772163523 1.2775435976454293E7 596771.2756179639 1.2763722091445427E7 577948.0326328032 1.3002045584692597E7 579666.0911578316 3388.2750259785244 31105.271870084674 16781.802359882007 272228.59128867544 228.66954022988506 1656.505230171703 2437 13214 1135 6405 787 13 10 0
8 16000009 51713 30211260 38.678947164848765 40.538784079206934 593.2772170292985 668.612992421203 840 2765 3735 51498 215 179 215 713 635 542 416 311 209 140 93 57 31 18 11 7 4 3 2693 2640 2598 2558 2520 2481 2441 2402 2359 2307 2244 2168 2081 1965 1814 32709 16738 1872 1434 32708 140 16737 2769 51498 961 368 103 4936 2951 1038 947 11.084039308708912 46.55247400865682 16.1252408477842 217.7273422618316 2.392819429778247 20.634676220488483 1.4740766920365978E7 592372.0294456598 1.4818275272639692E7 604091.648757481 1.4951438496304119E7 555695.3155750913 4012.051525423729 43010.32339607846 17633.11464354528 308196.713048374 179.2762836185819 1417.0547040357435 2463 14067 1090 7745 897 72 14 0
9 18000035 51376 31094059 38.93618471002784 41.57458763646999 614.3400177812902 673.5217516866554 973 2545 3709 51102 274 231 274 808 718 602 460 339 233 149 97 57 32 18 11 7 4 3 2490 2451 2420 2384 2351 2323 2286 2260 2214 2168 2117 2053 1979 1877 1736 30966 18338 1567 1462 30965 157 18338 2856 51102 1002 464 114 4960 3087 966 907 10.031098153547132 40.46034103453693 18.983436853002072 253.7968510736625 2.284454244762955 18.302282347839082 1.678533739974085E7 593059.6453851741 1.68209472184265E7 589722.4611172148 1.694416402425579E7 559537.1471693832 3517.850939727803 37728.856878320374 20867.093167701863 359792.13463248126 183.52941176470588 1156.1904366460808 2551 13402 1128 7664 923 39 16 0
10 20000017 51074 29157530 39.16716604978164 41.4904095681026 580.3930213579092 668.5150488573738 905 2674 3681 50676 398 185 398 769 682 571 450 331 226 148 97 56 32 18 11 7 4 3 2612 2573 2543 2511 2475 2452 2419 2385 2341 2296 2247 2200 2117 1997 1851 31248 17767 1476 1532 31246 132 17767 2742 50675 1077 493 127 4874 3171 953 750 9.85430463576159 37.60088919820571 18.643231899265476 258.72583097528354 2.7453333333333334 21.34800537130655 1.8735822914538E7 589258.2783391447 1.8788077609653726E7 589771.2947709971 1.8975589745333333E7 595730.202727351 2885.87570977918 27222.16601723734 20867.054564533053 366876.2126596804 342.08839779005524 2451.2551250013335 2412 14291 1195 7940 960 68 18 0
