%batchNum lastTS numPackets totalBytes avgInterAT stdInterAT avgLength stdLength ipSrc ipDst ipSrcDst ipv4 ipv6 icmp4 icmp6 ipMaskSrc[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] ipMaskDst[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] numTCP numUDP  othersL4 srcPortTCP dstPortTCP srcPortUDP dstPortUDP ipSrcPort ipDstPort tcpSyn tcpFin tcpRes flows flowsTCP flowsUDP flowsOther avgPacketsFlowTCP stdPacketsFlowTCP avgPacketsFlowUDP stdPacketsFlowUDP avgPacketsFlowOther stdPacketsFlowOther avgInterAtFlowTCP stdInterAtFlowTCP avgInterAtFlowUDP stdInterAtFlowUDP avgInterAtFlowOther stdInterAtFlowOther avgLengthFlowTCP stdLengthFlowTCP avgLengthFlowUDP stdLengthFlowUDP avgLengthFlowOther stdLengthFlowOther onePacketFlows httpPackets httpFlows sslPackets sslFlows smtpPackets smtpFlows auxFet
1 2000001 47816 27768097 41.83329498629965 45.29823041259353 586.7760333023413 661.7937537865747 913 2528 3514 47632 184 182 183 762 673 571 444 331 234 151 96 58 32 18 11 7 4 3 2466 2433 2401 2355 2318 2295 2250 2220 2189 2151 2111 2064 1988 1860 1724 36216 9958 1277 1313 36214 141 9958 2440 47632 797 462 132 4551 2877 1063 611 12.588112617309697 120.91225485881672 9.36782690498589 70.1848051030744 2.6873977086743044 25.42432048281907 721879.4028501912 611090.5215890362 842025.1956726246 597889.1415551939 958376.1653027823 573176.57275858 6544.074756606397 152653.82863725352 8362.086547507055 94122.92221835688 181.88888888888889 1603.1459879380839 2150 11318 1009 15795 762 208 12 0
2 4000006 49798 28641713 40.16731603470437 42.91347218479312 581.5924098440546 663.4568288401047 834 2550 3434 49647 151 151 151 711 632 535 427 310 217 141 91 57 32 18 11 7 4 3 2485 2447 2404 2362 2319 2296 2255 2223 2190 2145 2099 2036 1966 1861 1738 38208 9950 1338 1308 38207 141 9950 2448 49647 760 411 111 4527 2756 1085 686 13.863570391872278 125.69707232585701 9.170506912442397 60.89631590106729 2.39067055393586 22.934626322399605 2758045.7235123366 613662.3440257679 2783793.107834101 590011.5404593911 2970539.998542274 532204.6237267839 7247.852994555354 158026.6817996011 7943.476497695852 80351.6906595265 181.02597402597402 1591.3622625440603 2207 14061 1026 16283 754 161 18 0
3 6000040 47270 26485306 42.31818374169523 46.41622103188123 567.0642302010406 659.9611762755599 842 2477 3341 46965 305 160 305 713 635 535 419 311 216 146 94 57 32 18 11 7 4 3 2419 2382 2353 2314 2284 2257 2225 2192 2158 2121 2076 2030 1957 1864 1732 35739 9848 1218 1270 35738 135 9848 2289 46965 679 390 125 4381 2666 1149 566 13.405476369092273 121.29399844392397 8.570931244560487 60.630506443334966 2.9734982332155475 27.64380965088087 4735710.274943736 590193.6772986072 4817109.891209748 596607.3476601122 4976989.0865724385 593872.5732675565 6723.965478424015 154046.31258438047 7406.478677110531 79315.90273940281 176.428125 1565.6961430941828 2112 12689 981 15239 764 114 15 0
4 8000040 47674 28624423 41.95969789153467 44.00137391406541 606.9620237060283 667.6928072917523 843 2387 3268 47401 273 190 273 706 626 537 418 314 217 143 92 56 32 18 11 7 4 3 2331 2297 2270 2235 2207 2186 2155 2127 2088 2047 2009 1958 1893 1802 1683 35121 10898 1192 1191 35120 140 10897 2185 47401 669 453 138 4260 2673 1054 533 13.139169472502806 120.76058067564037 10.33965844402277 84.87005917855564 3.1050656660412757 28.338644979065794 6728511.622895623 581983.4143072115 6838345.925047439 608084.2303501569 6891763.810506566 581132.6171387918 6878.453967065869 152880.39302747068 9645.775142314991 117080.95496186297 246.29283489096574 1980.2293378620557 2024 10613 904 16038 821 189 19 0
5 10000007 46027 25652814 43.46073275674736 47.09385288105083 563.8841825295643 656.7296536464868 890 2369 3305 45695 332 166 332 744 668 562 435 326 226 149 96 57 32 18 11 7 4 3 2324 2295 2260 2222 2189 2165 2137 2111 2073 2042 1994 1947 1892 1792 1669 33662 10652 1215 1151 33661 144 10652 2131 45695 711 445 163 4166 2590 1113 463 12.996911196911197 120.89111696961925 9.570530098831986 64.04098670723819 3.699784017278618 31.552280999716917 8783763.315830115 625731.8277466473 8778614.053908356 597872.6206341033 8931822.099352052 603137.8025812401 6665.753959057552 150686.8589365694 7466.053908355795 74553.76119518456 290.5135135135135 2340.327910727411 2018 11294 836 14460 723 175 19 0
6 12000003 45350 28189667 44.106318226926895 48.03663582411793 627.1567331865002 667.4078091703556 864 2528 3419 45201 149 166 149 727 640 535 420 311 217 144 94 56 32 18 11 7 4 3 2472 2436 2402 2364 2329 2301 2257 2223 2183 2144 2092 2031 1963 1844 1704 33600 9978 1457 1249 33599 145 9976 2269 45201 671 402 96 4404 2637 1084 683 12.741751990898749 125.57528596806506 9.20479704797048 64.13705487561836 2.5944363103953147 22.998535824552103 1.0775186055365946E7 610024.5701551972 1.0767453672509225E7 571561.0648339277 1.1081892060029283E7 603245.4340227231 7436.95182094082 160364.03211519108 7855.559963099631 85156.70385501723 160.26244343891403 1331.3810125026152 2147 9146 863 15473 739 132 20 0
7 14000022 42511 21688286 47.05274549475368 51.85095741796618 515.5390301877823 641.0523729414119 847 2555 3496 42360 151 191 151 712 638 528 408 306 213 141 91 56 32 18 11 7 4 3 2474 2439 2402 2369 2335 2305 2268 2236 2202 2153 2101 2053 1972 1858 1716 30310 10337 1522 1304 30309 159 10337 2313 42360 672 395 119 4594 2719 1127 748 11.147480691430673 71.16508735301662 9.172138420585625 68.14481031616224 2.4919786096256686 22.604126261905616 1.2751755098933432E7 594387.6502196707 1.2821916722271517E7 601082.639158693 1.2951011687165776E7 625944.8224314712 4732.131714495953 84569.31492834934 7769.81455190772 91106.13602990696 144.76701030927836 1306.5612022625392 2332 9355 885 10819 778 141 19 0
8 16000014 48225 25627295 41.4756433918832 44.10889357064282 537.9827235132356 647.3779391576973 1064 2634 3982 47949 276 173 276 872 769 634 481 340 226 148 94 57 32 18 11 7 4 3 2556 2509 2470 2428 2391 2361 2321 2294 2245 2201 2157 2102 2023 1918 1784 37097 9309 1370 1256 37095 151 9309 2500 47948 1213 532 141 5314 3425 1183 706 10.831240875912409 98.23775717261958 7.8689771766694845 49.32425875888325 2.576487252124646 24.644986388871242 1.4734897963211678E7 555567.0760881416 1.4855404524091294E7 601225.6933925655 1.4961610535410766E7 618949.0814185363 5234.116530373832 123772.96754810688 6460.923076923077 62641.692603906646 148.92671394799055 1389.5341736920889 2451 8756 1030 19055 1339 133 16 0
9 18000008 50610 27148432 39.522567385977396 42.55207743608938 544.9133733416294 651.1713163173794 1045 2585 4004 50277 333 176 333 860 748 618 473 351 238 152 99 57 32 18 11 7 4 3 2522 2488 2460 2427 2397 2372 2338 2311 2270 2227 2173 2107 2034 1924 1776 38867 9709 1525 1256 38866 155 9709 2710 50277 781 505 144 5327 3272 1167 888 11.878667481662593 95.78141820494011 8.31962296486718 45.239030020430086 2.2905405405405403 22.50505448732523 1.6689719884474328E7 577331.8199671264 1.6822345877463583E7 592122.6586242386 1.705354931081081E7 535383.7158039156 5904.025068786304 119941.62453073768 6658.553556126821 53646.25900361664 150.7262443438914 1333.5433568562307 2522 11889 952 17241 1210 255 25 0
10 20000034 48983 28633674 40.8387103360967 44.55487617597516 590.7732365016815 665.2150359461017 1030 2493 3822 48742 241 182 241 816 708 583 446 327 228 148 100 59 33 19 12 8 5 4 2447 2413 2381 2352 2318 2294 2257 2234 2208 2168 2123 2063 1988 1881 1746 37541 9757 1262 1287 37540 143 9757 2528 48742 694 487 182 4942 3206 1110 626 11.709606986899564 117.53523117638213 8.79009009009009 66.5397598405618 2.691693290734824 25.753749067937918 1.879373915533375E7 623961.0020175463 1.8815400845945947E7 599766.5051684547 1.8946987353035145E7 600077.3725324154 6280.652106084243 150544.5061530701 7606.952252252252 89978.97354415842 167.53021978021977 1510.0147077371191 2554 11376 989 16965 1088 228 18 0
11 22000026 46363 27398604 43.143387190715536 45.12070300180405 598.536164449396 664.3556234189268 1019 2538 3826 46147 216 158 216 827 719 594 459 330 230 150 97 57 32 18 11 7 4 3 2470 2436 2400 2369 2333 2305 2266 2234 2191 2147 2108 2049 1960 1848 1708 34266 10302 1421 1314 34265 144 10302 2587 46147 639 493 184 4892 3103 1109 680 11.042861746696746 119.38888056182077 9.289449954914337 64.15345247437838 2.639705882352941 24.44303100488731 2.0788128398324203E7 609389.9823088638 2.0781549745716862E7 594758.554772388 2.098283856764706E7 550981.3696161057 5997.54835589942 151564.62708274255 7866.666366095582 84759.02120429641 207.2199413489736 1626.1707291884231 2638 8765 997 16477 1115 211 17 0
12 24000021 45146 24470140 44.30762755045526 46.88343633883498 546.3261592730682 653.4028732854707 1031 2411 3694 44961 185 159 185 817 710 596 458 330 222 146 97 56 32 18 11 7 4 3 2362 2323 2294 2261 2237 2207 2173 2138 2112 2063 2013 1956 1890 1785 1652 35647 8017 1138 1259 35646 137 8017 2365 44961 691 445 239 4713 3174 1048 491 11.230938878386894 110.96941795029315 7.6498091603053435 31.87357241227614 3.018329938900204 27.942040681999977 2.281626574732199E7 603206.455016642 2.281009072423664E7 600038.3468621001 2.290885982484725E7 570799.8828792927 5812.710683895367 140071.52522154758 5696.29675572519 31633.1247495533 172.86363636363637 1562.6246238785293 2437 9917 935 16574 1129 180 14 0
